,,,,,,Corsi (EV),,,,Fenwick (EV),,,,PDO (),,,Zone Starts (EV),,,,,,,,
Rk,Player,Age,Tm,Pos,GP,CF,CA,CF%,CF% rel,FF,FA,FF%,FF% rel,oiSH%,oiSV%,PDO,oZS%,dZS%,TOI/60,TOI(EV),TK,GV,E+/-,SAtt.,Thru%
,,,,,,,,,,,,,,,,,,,,,,,,,
1,Rodrigo Abols,29,PHI,C,22,191,199,49,0.3,137,135,50.4,0.3,8.3,84.7,93,61.2,38.8,9:11,9:09,4,14,-1.3,48,52.1
2,Noel Acciari,33,PIT,C,76,692,926,42.8,-9.2,479,635,43,-8,6.2,88.2,94.4,20.6,79.4,13:44,11:17,14,33,-11.3,144,50.7
3,Sebastian Aho,27,CAR,F,73,1401,898,60.9,2.6,1009,665,60.3,3,10.7,86.2,96.9,63.8,36.2,20:14,14:49,20,87,8.3,414,45.7
4,Alexander Alexeyev,25,WSH,D,5,56,68,45.2,-1,47,39,54.7,9.9,14.3,96,110.3,29.5,70.5,13:13,13:11,0,2,1.7,8,50
5,Nolan Allan,21,CHI,D,43,465,656,41.5,-5.5,319,478,40,-6.4,9.1,89.3,98.4,42,58,15:08,14:07,8,22,-10.3,64,26.6
6,Michael Amadio,28,OTT,C,65,779,847,47.9,-2.6,541,582,48.2,-2.7,9.9,93.4,103.3,35.5,64.5,14:02,13:07,21,31,-1.9,142,52.8
7,Nils Åman,24,VAN,C,19,171,182,48.4,-2.5,119,143,45.4,-5.6,9.7,89.7,99.4,48.9,51.1,10:29,10:13,3,3,0,20,40
8,Joey Anderson,26,CHI,RW,18,153,223,40.7,-4.1,95,158,37.5,-8.5,4.5,95.6,100.1,29.4,70.6,12:24,10:53,8,4,-3.2,31,54.8
9,Josh Anderson,30,MTL,RW,75,868,1029,45.8,-2.3,602,723,45.4,-2.9,11,90.5,101.5,42.3,57.7,14:11,12:23,16,35,-1.3,200,50.5
10,Michael Anderson,25,LAK,D,71,1302,1275,50.5,-4.1,911,872,51.1,-4,9,93.4,102.4,41.5,58.5,22:44,19:34,19,56,-2.8,237,32.9
11,Jaret Anderson-Dolan,25,WPG,C,1,2,7,22.2,-20.3,1,4,20,-22,,100,,0,100,8:54,8:54,0,1,-0.1,0,
12,Rasmus Andersson,28,CGY,D,75,1559,1619,49.1,-3.8,1117,1147,49.3,-2.7,7.2,89.2,96.4,49.8,50.2,24:04:00,19:26,30,101,-7.7,352,42.6
13,Emil Andrae,22,PHI,D,36,534,485,52.4,6.1,390,338,53.6,4.6,8.2,88.2,96.4,56.2,43.8,17:54,16:04,15,40,4,118,39.8
14,Mason Appleton,29,WPG,C,65,874,915,48.9,-0.2,635,671,48.6,-1.4,8.8,93.8,102.6,29.1,70.9,14:51,13:54,14,32,-2.7,166,60.2
15,Joel Armia,31,MTL,RW,74,687,850,44.7,-3.7,452,593,43.3,-5.6,9.9,89.2,99.1,30.8,69.2,14:22,11:01,18,43,-11,217,45.6
16,Viktor Arvidsson,31,EDM,LW,60,949,760,55.5,1.2,694,542,56.1,1.8,7.4,90.3,97.7,55,45,14:47,13:41,14,59,8.7,264,52.3
17,Rasmus Asplund,27,FLA,F,2,21,9,70,21.5,15,7,68.2,15.7,0,100,100,55.6,44.4,7:32,7:32,1,0,0.7,2,50
18,Zach Aston-Reese,30,CBJ,C,73,809,941,46.2,-2.7,563,640,46.8,-2.6,7.8,89.1,96.9,41.6,58.4,13:34,12:19,9,39,-2.8,182,52.7
19,Andreas Athanasiou,30,CHI,C,8,55,100,35.5,-9.8,45,72,38.5,-8.2,12.5,87.8,100.3,35.7,64.3,10:02,9:56,2,2,-0.3,15,53.3
20,Cam Atkinson,35,TBL,RW,38,252,319,44.1,-6.1,189,232,44.9,-4.2,10.5,88.7,99.2,51.6,48.4,8:47,8:08,3,12,-4.1,61,70.5
21,Nicolas Aubé-Kubel,28,TOT,RW,22,182,183,49.9,-2.4,120,127,48.6,-2,5.8,88.8,94.5,31.7,68.3,9:25,9:23,9,12,-3,42,42.9
21,Nicolas Aubé-Kubel,28,BUF,RW,19,159,147,52,-0.5,103,99,51,0.1,6.6,87.5,94.1,29.4,70.6,9:32,9:30,8,11,-1.4,38,47.4
21,Nicolas Aubé-Kubel,28,NYR,RW,3,23,36,39,-12,17,28,37.8,-10.8,0,93.8,93.8,42.9,57.1,8:44,8:40,1,1,-1.5,4,0
22,Oskar Back,24,DAL,C,68,638,613,51,1.7,405,432,48.4,-0.2,7,93.8,100.8,39.2,60.8,11:48,10:17,12,49,-2.5,91,46.2
23,Mikael Backlund,35,CGY,C,69,1076,988,52.1,1.6,751,681,52.4,2.4,7.6,91.7,99.3,37.6,62.4,18:42,14:35,34,66,-0.4,315,49.8
24,Kevin Bahl,24,CGY,D,66,1251,1299,49.1,-3.9,896,914,49.5,-2.7,8.1,91,99.1,47,53,21:21,18:40,23,79,-9.2,206,37.9
25,Arshdeep Bains,24,VAN,F,13,119,133,47.2,-1.5,83,95,46.6,-3.2,5.8,87.9,93.6,53.9,46.1,10:30,9:45,1,4,-2.8,16,50
26,Uvis Balinskis,28,FLA,D,69,915,735,55.5,-0.1,644,547,54.1,-0.6,7.4,90.3,97.7,60.8,39.2,14:36,13:13,19,46,10.1,178,46.6
27,Ivan Barbashev,29,VEG,C,64,1045,1059,49.7,-0.6,754,760,49.8,-1,12.7,91.7,104.5,58.8,41.2,16:47,15:56,17,69,6.1,209,48.8
28,Aleksander Barkov,29,FLA,C,64,1242,813,60.4,6.4,883,597,59.7,6.4,8.2,88.5,96.7,58.8,41.2,20:25,15:28,34,49,13.3,286,49.7
29,Alex Barré-Boulet,27,MTL,F,2,15,22,40.5,4.4,8,16,33.3,-2.5,0,84.6,84.6,50,50,10:10,7:07,1,0,-0.9,1,0
30,Tyson Barrie,33,CGY,D,13,190,199,48.8,-4.3,131,139,48.5,-5.9,4.8,88.9,93.7,57.1,42.9,15:48,13:59,2,11,-1.5,40,47.5
31,Justin Barron,23,TOT,D,56,873,816,51.7,4.2,596,561,51.5,4.1,7.8,88,95.7,57.9,42.1,17:01,15:58,14,48,-1.5,153,43.8
31,Justin Barron,23,NSH,D,39,670,573,53.9,3.9,459,399,53.5,3.6,8.1,86.6,94.7,59.8,40.2,18:01,17:06,10,40,1.6,121,42.1
31,Justin Barron,23,MTL,D,17,203,243,45.5,3.6,137,162,45.8,3.7,6.5,91.3,97.8,48.9,51.1,14:43,13:22,4,8,-3.1,32,50
32,Morgan Barron,26,WPG,C,68,526,533,49.7,0.1,376,369,50.5,0.2,7.7,93.9,101.6,27.2,72.8,10:16,8:59,22,31,1.5,151,51.7
33,Mathew Barzal,27,NYI,C,30,662,465,58.7,9.6,467,319,59.4,10.4,10.3,91.3,101.6,56.4,43.6,20:21,17:28,10,36,10.8,171,45.6
34,Nathan Bastian,27,NJD,RW,55,414,467,47,-4.3,273,341,44.5,-6,6.4,93,99.5,40.3,59.7,10:51,10:01,2,23,-3.2,79,54.4
35,Drake Batherson,26,OTT,C,75,1162,1136,50.6,0.5,838,814,50.7,0.4,7.5,89.8,97.3,50.2,49.8,18:09,14:57,20,48,-0.2,318,53.1
36,Jake Bean,26,CGY,D,58,922,832,52.6,1.5,614,618,49.8,-1.6,6,93.6,99.6,62,38,15:22,14:55,24,42,-2.4,157,39.5
37,Anthony Beauvillier,27,TOT,LW,75,966,880,52.3,1.2,670,635,51.3,1,9.2,91.2,100.4,47.7,52.3,12:50,12:26,15,27,3.3,246,56.9
37,Anthony Beauvillier,27,PIT,LW,63,815,757,51.8,1,564,546,50.8,0.7,9,90.9,99.9,51.3,48.7,13:00,12:32,15,21,1.5,213,56.3
37,Anthony Beauvillier,27,WSH,LW,12,151,123,55.1,2.7,106,89,54.4,2.8,10.6,93,103.6,26.3,73.7,11:58,11:56,0,6,1.8,33,60.6
38,Owen Beck,20,MTL,C,12,116,120,49.2,2,79,78,50.3,3.3,3.6,90.7,94.3,60.3,39.7,9:59,9:59,1,11,1.3,18,55.6
39,Connor Bedard,19,CHI,C,75,1160,1488,43.8,-0.6,814,1094,42.7,-1.3,9.9,88,97.9,57.4,42.6,20:17,17:35,23,82,-12,366,48.4
40,John Beecher,23,BOS,C,74,577,705,45,-4.2,411,477,46.3,-1.8,8.1,90.4,98.6,17.9,82.1,11:16,9:39,14,43,-7.8,93,45.2
41,Kieffer Bellows,26,NSH,LW,18,146,166,46.8,-4,98,117,45.6,-6,2.9,88.9,91.7,36.6,63.4,10:45,10:14,3,9,0.3,52,48.1
42,Emil Bemström,25,PIT,C,13,99,67,59.6,11.6,63,47,57.3,10.5,2.3,96.4,98.7,52.9,47.1,8:20,8:01,1,5,0.8,24,50
43,Matty Beniers,22,SEA,C,76,1194,1186,50.2,2.7,855,857,49.9,2.1,10.7,89.7,100.4,50.6,49.4,18:41,15:45,26,66,-1.3,298,46.3
44,Jamie Benn,35,DAL,LW,74,903,1023,46.9,-4,613,737,45.4,-4.5,12.2,90.8,103,48.7,51.3,15:15,12:18,13,54,3.1,228,52.6
45,Sam Bennett,28,FLA,C,73,1309,1039,55.7,0.2,956,798,54.5,0,8.7,88,96.7,58.8,41.2,17:25,15:01,26,52,12.6,407,57.2
46,Matt Benning,30,SJS,D,7,72,111,39.3,-8,54,84,39.1,-8.9,2.6,88.2,90.8,55.1,44.9,13:02,12:03,1,4,-0.6,15,46.7
47,Simon Benoit,26,TOR,D,71,815,1105,42.4,-7.1,606,765,44.2,-5.7,10.1,92.6,102.7,36.5,63.5,16:14,14:11,12,64,-9.1,94,44.7
48,Zach Benson,19,BUF,LW,67,866,692,55.6,8.2,602,513,54,6.5,9.6,88.7,98.3,51.3,48.7,14:37,12:12,14,36,1.5,189,54.5
49,Brett Berard,22,NYR,LW,31,287,351,45,-5.4,203,241,45.7,-3.9,8.1,88.6,96.7,48.8,51.2,10:34,10:28,6,17,-4.8,91,51.6
50,Jonatan Berggren,24,DET,RW,67,704,804,46.7,-1.5,496,585,45.9,-1.9,6.7,92.2,98.9,50.6,49.4,12:51,12:01,10,24,-3.9,169,46.2
51,Jacob Bernard-Docker,24,TOT,D,32,362,397,47.7,0.1,259,269,49.1,1.2,12.6,89.8,102.5,49.5,50.5,13:18,13:10,2,13,-1.1,64,31.3
51,Jacob Bernard-Docker,24,OTT,D,25,290,285,50.4,0.9,205,193,51.5,1.3,11.2,89.2,100.4,51.9,48.1,13:06,0.541666667,1,9,-2.6,55,32.7
51,Jacob Bernard-Docker,24,BUF,D,7,72,112,39.1,-0.5,54,76,41.5,3.2,17.5,91.5,109,43.8,56.3,0.583333333,13:48,1,4,1.5,9,22.2
52,Tyler Bertuzzi,29,CHI,LW,75,849,1065,44.4,0.2,581,790,42.4,-1.5,9.7,86.1,95.8,49.5,50.5,16:02,13:32,18,45,-12.1,224,53.6
53,Lian Bichsel,20,DAL,D,32,427,419,50.5,3.3,290,299,49.2,2.8,12.8,90.2,102.9,52.8,47.2,14:46,14:16,4,20,-0.5,84,36.9
54,Clark Bishop,28,CGY,C,6,31,44,41.3,-11.5,23,36,39,-14.4,5.9,87,92.8,57.9,42.1,7:15,6:47,1,2,-0.3,4,100
55,Oliver Bjorkstrand,29,TOT,RW,75,971,915,51.5,3.6,691,640,51.9,3.9,10.5,89.7,100.2,52.4,47.6,15:08,12:53,25,61,-3.8,284,50.7
55,Oliver Bjorkstrand,29,SEA,RW,61,821,793,50.9,4,587,558,51.3,4.4,10.2,89.3,99.5,53.9,46.1,15:28,13:10,21,56,-3.2,244,50.8
55,Oliver Bjorkstrand,29,TBL,RW,14,150,122,55.1,2.7,104,82,55.9,2.8,12.7,91.9,104.6,45.8,54.2,13:40,11:39,4,5,-0.5,40,50
56,Tobias Björnfot,23,FLA,D,14,188,150,55.6,-2.3,138,104,57,1,8,84.9,92.9,56.2,43.8,13:06,12:35,1,6,3,28,35.7
57,Nick Bjugstad,32,UTA,C,60,705,672,51.2,-1.7,511,480,51.6,-1.2,6.5,90.8,97.3,48.4,51.6,12:27,11:38,11,34,1.2,186,54.3
58,Colin Blackwell,31,DAL,C,59,547,514,51.6,0.9,361,361,50,0.4,8.8,91.8,100.6,41.9,58.1,11:32,9:38,14,32,0.3,125,48
59,Jackson Blake,21,CAR,RW,74,1011,625,61.8,3.4,698,441,61.3,3.9,7.7,92.1,99.8,60.8,39.2,13:38,11:33,19,52,14.7,225,58.7
60,Nick Blankenburg,26,NSH,D,54,848,846,50.1,-2.2,593,629,48.5,-3.6,10.3,91.8,102.1,45.4,54.6,19:18,16:04,18,45,1.4,175,43.4
61,Teddy Blueger,30,VAN,C,75,813,909,47.2,-2.8,580,638,47.6,-1.9,9.5,89.2,98.7,40.8,59.2,14:18,12:06,20,46,-9.7,167,50.9
62,Matěj Blümel,24,DAL,RW,7,42,52,44.7,-2.6,31,38,44.9,-2,4.2,92.3,96.5,25.7,74.3,8:26,8:23,1,2,0.2,15,66.7
63,Brock Boeser,27,VAN,RW,68,975,996,49.5,0.1,682,714,48.9,-0.4,10.1,85.7,95.9,60,40,18:06,14:52,15,36,1.9,289,46
64,Zach Bogosian,34,MIN,D,75,920,1129,44.9,-2.6,679,823,45.2,-2.8,9.4,92.1,101.5,40.6,59.4,15:58,14:08,20,65,-2.7,186,39.8
65,Samuel Bolduc,24,NYI,D,1,7,2,77.8,25.1,4,1,80,29.3,0,0,0,100,0,5:56,5:56,0,0,0,1,0
66,Zachary Bolduc,21,STL,C,67,713,660,51.9,2.9,491,454,52,2.8,11.9,92.8,104.7,54.8,45.2,12:44,11:29,16,56,8.3,223,48
67,Matt Boldy,23,MIN,LW,76,1245,1256,49.8,4.4,917,885,50.9,5.4,10.4,89.8,100.1,46.1,53.9,20:03,16:33,41,78,3.2,509,49.9
68,Adam Boqvist,24,TOT,D,34,426,399,51.6,-0.4,305,287,51.5,0.8,8.7,89,97.7,61.4,38.6,13:55,11:47,4,21,4,101,38.6
68,Adam Boqvist,24,FLA,D,18,224,202,52.6,-0.7,151,147,50.7,-1,7.8,89.4,97.3,63,37,12:51,10:48,4,8,1.8,53,39.6
68,Adam Boqvist,24,NYI,D,16,202,197,50.6,-0.1,154,140,52.4,2.6,9.7,88.5,98.2,59.8,40.2,15:07,12:53,0,13,2.2,48,37.5
69,Jesper Boqvist,26,FLA,C,72,793,761,51,-5.9,549,579,48.7,-7.5,9.6,90.6,100.2,57,43,13:06,11:46,16,27,-0.5,151,51.7
70,William Borgen,28,TOT,D,77,1080,1250,46.4,-2.9,764,876,46.6,-3.1,9.8,89.3,99.1,41.9,58.1,17:01,15:37,20,71,-11.8,193,37.3
70,William Borgen,28,NYR,D,44,680,757,47.3,-2.1,485,541,47.3,-2.6,10.7,90.6,101.4,35.4,64.6,18:23,16:57,14,51,-6.1,110,43.6
70,William Borgen,28,SEA,D,33,400,493,44.8,-4.3,279,335,45.4,-4.1,8,87.1,95.1,53.1,46.9,15:12,13:50,6,20,-5.7,83,28.9
71,Robert Bortuzzo,35,UTA,D,16,135,131,50.8,-1.2,98,86,53.3,1.4,4.8,91.2,96.1,62.1,37.9,10:53,9:26,0,17,1.8,16,43.8
72,Evan Bouchard,25,EDM,D,75,1818,1208,60.1,10.1,1314,910,59.1,8.2,9.4,88.9,98.3,61.7,38.3,23:21,19:53,47,124,23.1,494,42.7
73,Mavrik Bourque,23,DAL,C,66,748,652,53.4,3.8,485,476,50.5,1.3,10.9,91.3,102.3,43.8,56.3,12:32,11:26,11,35,4.6,148,48
74,Shane Bowers,25,NJD,C,4,24,27,47.1,-10.6,19,20,48.7,-12.2,10,86.7,96.7,75,25,8:15,8:08,1,1,-0.6,2,100
75,Travis Boyd,31,MIN,C,3,12,39,23.5,-24.5,6,23,20.7,-28,0,100,100,11.1,88.9,7:48,7:19,0,2,-0.2,3,0
76,Chase Bradley,23,COL,LW,2,8,8,50,-12.2,4,3,57.1,-6.1,0,100,100,0,100,5:35,5:35,0,0,-0.2,2,0
77,Erik Brännström,25,VAN,D,28,340,357,48.8,0.2,238,254,48.4,-0.5,9,88.9,97.9,66.5,33.5,14:56,13:55,6,26,-0.7,81,40.7
78,Jesper Bratt,26,NJD,W,76,1276,1090,53.9,4.2,865,798,52,2.8,11.6,89.3,100.9,69.3,30.7,18:53,14:27,11,55,6.5,361,45.7
79,Justin Brazeau,26,TOT,F,71,721,788,47.8,-1,503,569,46.9,-1.8,7.1,92.2,99.3,47.6,52.4,12:07,10:51,13,40,-1.4,153,56.2
79,Justin Brazeau,26,BOS,F,57,626,643,49.3,0.3,427,475,47.3,-1.6,7.5,91.9,99.4,48.3,51.7,12:58,11:26,10,33,0.4,138,56.5
79,Justin Brazeau,26,MIN,F,14,95,145,39.6,-8.2,76,94,44.7,-3.4,4.8,93.5,98.3,44.3,55.7,8:37,8:30,3,7,-1.9,15,53.3
80,Bobby Brink,23,PHI,RW,73,818,850,49,0.9,597,587,50.4,-0.1,10.8,87,97.7,41.2,58.8,14:44,12:49,19,56,1.9,195,50.3
81,Guillaume Brisebois,27,VAN,D,3,37,43,46.3,-7.2,25,31,44.6,-10.5,6.3,95,101.3,71.4,28.6,15:48,15:38,1,0,-1.2,6,33.3
82,Brendan Brisson,23,VEG,C,9,69,95,42.1,-1.8,51,72,41.5,-4.4,9.4,88.9,98.3,40.7,59.3,9:52,9:52,1,1,-1.7,18,38.9
83,Philip Broberg,23,STL,D,64,1119,1181,48.7,-0.9,796,839,48.7,-1,10.3,94,104.2,47.2,52.8,20:27,18:37,22,95,8.6,231,40.7
84,T.J. Brodie,34,CHI,D,54,681,814,45.6,1.6,476,600,44.2,0.4,7.7,89.6,97.2,48,52,15:38,15:07,14,46,-12.1,77,29.9
85,Jonas Brodin,31,MIN,D,44,800,906,46.9,0.6,567,602,48.5,2.5,12.1,90.2,102.3,47.5,52.5,22:29,20:34,14,47,-1.4,146,45.2
86,Jonny Brodzinski,31,NYR,C,44,420,502,45.6,-3.8,298,369,44.7,-4.7,9.9,95.7,105.6,39.5,60.5,11:21,10:40,9,21,-6.5,115,53.9
87,Connor Brown,31,EDM,RW,75,787,857,47.9,-7.7,560,599,48.3,-7.4,8.9,91.9,100.8,40,60,13:40,12:02,25,50,-1.2,181,57.5
88,Josh Brown,31,EDM,D,8,70,88,44.3,-9.9,48,60,44.4,-10,5.4,93.2,98.6,48.3,51.7,11:29,10:22,0,3,-0.4,13,38.5
89,Patrick Brown,32,BOS,C,15,103,150,40.7,-7.5,60,93,39.2,-7.4,5.1,94.3,99.4,17.7,82.3,10:34,9:40,3,10,-5.7,22,50
90,Jacob Bryson,27,BUF,D,45,503,604,45.4,-5.5,355,438,44.8,-5.7,11.9,87.5,99.4,37.7,62.3,14:24,13:23,8,31,-8.2,50,36
91,Pavel Buchnevich,29,STL,LW,71,1106,1096,50.2,1.7,797,786,50.3,1.8,12.3,89.6,101.9,55.7,44.3,18:59,15:39,14,62,5.9,278,48.9
92,Michael Bunting,29,TOT,LW,70,974,883,52.5,2.6,668,623,51.7,2.6,7.9,87.2,95.1,60.6,39.4,15:25,13:19,12,52,1.1,281,48
92,Michael Bunting,29,PIT,LW,58,786,724,52.1,2,539,511,51.3,1.9,8.5,87.7,96.3,61.1,38.9,15:15,12:59,10,38,1.3,231,47.6
92,Michael Bunting,29,NSH,LW,12,188,159,54.2,5.9,129,112,53.5,6.3,5.1,84.7,89.9,58.3,41.7,16:14,15:00,2,14,-0.2,50,50
93,André Burakovsky,29,SEA,LW,73,925,990,48.3,0.2,667,732,47.7,-0.7,10.1,89.9,100,51.8,48.2,14:24,12:53,17,33,-1.4,206,52.9
94,Callahan Burke,27,VEG,C,7,61,86,41.5,-6.2,44,62,41.5,-4.8,11.8,94.6,106.4,72.7,27.3,10:50,10:47,0,3,-0.6,17,70.6
95,Brent Burns,39,CAR,D/RW,74,1570,1158,57.6,-2.5,1111,838,57,-1.9,10.2,89,99.3,54.5,45.5,21:22,17:11,36,92,7.3,428,38.8
96,Kyle Burroughs,29,LAK,D,29,197,174,53.1,0.4,138,125,52.5,-1.3,10.8,90.2,101,54.8,45.2,7:35,7:10,3,17,1,19,26.3
97,Quinton Byfield,22,LAK,C,75,1241,1001,55.4,3.1,862,706,55,1.6,11.7,89.7,101.4,53.5,46.5,18:35,15:12,24,64,2.1,328,44.2
98,Bowen Byram,23,BUF,D,74,1391,1423,49.4,-0.3,1013,1028,49.6,0.6,12.5,88.7,101.2,51.8,48.2,22:52,19:50,15,73,-4.1,187,44.4
99,Drake Caggiula,30,EDM,LW,7,37,61,37.8,-16,21,36,36.8,-17.1,12.5,93.1,105.6,66.7,33.3,7:18,7:18,0,3,-1.7,9,66.7
100,Luca Cagnoni,20,SJS,D,5,65,76,46.1,0.6,43,56,43.4,-3.6,3.8,88.6,92.4,63.6,36.4,17:37,14:43,1,5,-0.4,23,30.4
101,Michael Callahan,25,BOS,D,14,160,218,42.3,-7.6,116,166,41.1,-7.2,6.8,91.7,98.4,25.8,74.2,13:32,12:37,1,10,-2.2,22,27.3
102,Kyle Capobianco,27,DAL,D,1,6,7,46.2,-2.3,4,5,44.4,-5.6,0,33.3,33.3,33.3,66.7,11:23,10:50,1,0,-0.2,1,0
103,Michael Carcone,28,UTA,F,52,608,520,53.9,0.9,422,360,54,1.1,9.2,86.5,95.8,51,49,11:26,10:41,6,36,1.4,179,40.8
104,Ethan Cardwell,22,SJS,RW,6,58,81,41.7,1.2,35,54,39.3,-3.1,9.5,89.2,98.7,45.5,54.5,11:32,10:26,1,5,-0.9,11,45.5
105,Declan Carlile,24,TBL,D,3,37,32,53.6,-1.8,31,26,54.4,-1.9,11.1,100,111.1,60,40,13:00,13:00,0,3,-0.2,8,37.5
